loan_amnt,term,installment,emp_length,dti,open_acc,revol_util,total_acc,mort_acc,log_annual_inc,fico_score,log_revol_bal,charged_off
8000,36,263.78,10,16.65,13,64.2,17,NaN,4.81292003804502,682,3.99528410768925,0
25000,36,854.32,2,10.06,16,30.8,28,NaN,5.30103216713096,702,4.24799780208012,0
5000,36,173.9,2,22.87,14,71.1,31,NaN,4.81292003804502,662,4.55349465685997,1
5000,36,166.05,5,20.49,8,55,22,NaN,4.57979502526858,682,3.86640549837805,0
12000,60,297.53,3,15.24,14,58.7,38,NaN,4.95424733490676,677,4.45621415535798,0
28000,36,870.85,8,8.23,12,0.8,30,NaN,5.19590241860731,802,4.84829998653594,0
11400,36,412.09,4,2.27,3,15.6,5,NaN,4.74037058568576,662,3.463295609962,1
28000,36,851.69,3,2.83,14,6.5,30,NaN,5.41162138927191,792,3.56359972888153,0
30000,60,697.9,10,8.92,10,40.6,27,NaN,5.01284144113598,742,4.96931804527498,1
4800,60,132.88,3,12.42,25,43.4,39,NaN,4.81292003804502,702,3.66322963453286,1
6000,36,212.4,2,14.46,7,59.1,8,NaN,4.27499329307007,672,3.74460587541423,1
22750,60,548.66,8,16.52,9,3.6,29,NaN,4.47713573096112,752,3.11394335230683,1
8000,36,269.52,NaN,13.05,5,46.1,13,NaN,4.38022933693803,707,3.09551804232315,0
12100,36,430.74,4,11.16,5,42.5,28,NaN,4.86923758853567,667,3.31848072517451,0
19600,60,306.39,4,20.73,9,8.2,21,NaN,4.6020274180203,777,3.24303804868629,0
10000,60,266.34,5,5.14,4,55.2,11,NaN,4.54408045258678,692,3.89092377148901,0
15000,36,483.94,1,11.24,7,65.4,29,NaN,4.95424733490676,722,4.51751259301644,0
6350,60,144.45,4,24.12,9,52.8,19,NaN,4.30105170984522,717,3.9503161639246,0
3250,36,107.16,1,11.88,9,4.5,14,NaN,3.98231646969206,682,3.19948091486235,0
6000,36,210.92,1,3.84,3,86,3,NaN,4.65322216465659,692,3.79211140908716,0
25000,60,385.97,10,7.29,7,61.5,38,NaN,5.19590241860731,712,3.82216807936801,0
8400,36,261.26,3,15.32,4,68.4,29,NaN,4.76772712567933,767,4.23294531274522,1
19075,36,593.27,5,18.88,10,8.1,17,NaN,4.47713573096112,772,3.36828688490213,0
8000,36,284.79,0,7.03,5,47.7,17,NaN,4.90309541563903,662,3.80908813134634,0
35000,36,1196.05,4,19.09,11,41.9,32,NaN,4.85974456469828,737,4.3643070465816,0
3675,36,116,2,17,3,73.6,4,NaN,4.28332384761878,737,3.57437856441308,0
3200,36,104.75,0,4.2,3,63.9,5,NaN,4.74819578219556,727,3.20357677497797,0
7000,36,235.83,6,9.54,3,94.2,13,NaN,4.77815848856469,712,3.67302090712889,0
11600,36,379.72,0,2.11,4,2.3,7,NaN,4.85126446549968,757,2.31386722036915,0
11525,36,358.45,2,26.12,13,0,36,NaN,4.9590461647617,752,0,0
2000,36,65.47,10,11.75,5,34.5,13,NaN,4.68125028508304,687,3.33000770087275,0
10000,36,322.63,1,1.61,4,18.2,8,NaN,4.81292003804502,762,3.70952435587634,0
35000,36,1139.08,3,4.6,7,0,29,NaN,4.77815848856469,772,0,0
25300,36,828.17,10,1.68,10,19.7,42,NaN,4.97772817678564,767,3.7826159320316,1
24000,60,609.32,2,24.33,9,54.4,28,NaN,4.84510424417682,702,4.40827389324295,0
2400,36,80.86,4,15.01,7,35.5,18,NaN,4.82608128465964,677,3.81264601623311,0
21000,60,559.3,10,13.14,13,73.5,37,NaN,4.89210017053276,682,4.49182376141942,0
10000,36,322.63,5,21.93,20,0,44,NaN,4.55631456433534,737,0,0
9175,60,197.62,2,26.25,7,12.8,14,NaN,4.25529663190434,787,2.58658730467175,1
35000,36,1179.12,5,5.28,3,70.7,28,NaN,4.90309541563903,752,2.85003325768976,0
22500,60,489.1,5,3.55,9,20.3,19,NaN,4.97128048861163,762,3.57112627708431,0
6500,36,233.34,4,7.91,4,89.5,12,NaN,4.62325963061961,667,2.99387691494121,0
8000,36,246.99,3,9.19,5,20,15,NaN,4.84510424417682,792,3.65030752313193,0
16000,36,523.75,2,4.53,3,50.4,12,NaN,4.60207084855429,742,3.70294724618155,0
10000,60,227.48,3,11.66,7,12.7,18,NaN,4.69897869013879,727,3.12742877785159,0
35000,36,1139.08,6,1.63,7,4.4,20,NaN,5.04139663327193,797,3.01911629044707,1
2500,36,77.19,4,18.78,6,15.9,7,NaN,4.60207084855429,752,3.19755621315353,0
25000,60,645.63,10,3.63,13,21.2,34,NaN,4.89210017053276,702,3.56925683332861,0
10000,36,304.18,0,1.39,5,25.5,27,NaN,5.14922219274716,787,3.821579027912,0
6000,36,210.92,7,21.7,5,86.3,12,NaN,4.69897869013879,667,3.88564387183576,0
20000,60,557.86,5,16.83,24,53.6,51,NaN,4.8621373448556,672,3.90498588109936,0
20000,60,512.13,2,15.03,12,42.6,22,NaN,4.97772817678564,682,4.12943207415557,0
35000,60,879.09,10,6.2,21,31.8,36,NaN,4.98227575691685,732,4.38698025732775,1
35000,60,879.09,1,13.53,15,44.1,31,NaN,5.04139663327193,727,4.25808628432797,0
7000,36,235.83,1,22.06,7,90.8,16,NaN,4.74037058568576,682,4.20104189554268,1
20200,60,449.24,2,1.31,4,7.4,4,NaN,4.62325963061961,792,3.07736790528415,0
9000,36,296.75,3,15.86,9,34.5,17,NaN,4.42162037710683,692,4.1034616220947,1
11000,60,263.02,6,8.4,6,20,11,NaN,4.38022933693803,732,3.31026836663244,0
35000,60,896.22,10,10.19,9,93.4,20,NaN,4.72428406375899,727,4.56025344354234,1
30000,36,946.89,10,0.21,5,2,14,NaN,4.98514343924406,797,2.74115159885178,0
28000,36,991.19,8,3.77,14,39.1,17,NaN,5.38021305126817,692,4.15213539686187,0
2600,36,79.09,6,4.43,6,0,27,NaN,4.79934744296207,772,0,1
35000,60,921.26,10,5.44,7,47.4,24,NaN,5.13593051082187,687,3.86864443839482,0
2000,36,65.95,10,8,9,39.4,15,NaN,4.55631456433534,687,4.02358165766493,0
16000,60,382.58,7,8.67,5,0,9,NaN,4.65322216465659,732,0,0
35000,60,814.21,1,0.66,4,7.6,15,NaN,4.87506705394618,772,3.09864372581705,0
12600,60,309.7,10,19.44,7,51.7,17,NaN,5.0000043429231,697,4.29662131991633,0
22500,60,517.61,3,19.44,12,23,34,NaN,4.69897869013879,732,3.54332290064691,0
11000,36,358,3,14.94,5,3.9,28,NaN,4.62325963061961,717,2.67942789661211,1
1775,36,54.8,5,26.47,13,7.8,25,NaN,4.35795389458633,737,3.18412335423967,0
21600,60,511.49,10,0.37,2,11.5,10,NaN,4.50732954404811,797,2.06445798922691,1
4775,36,148.52,1,18.6,9,35.7,20,NaN,4.75588247480709,717,3.83884909073725,1
11050,36,333.27,10,18.91,7,36.5,16,NaN,4.68764879925492,772,4.74468406327688,0
25000,60,581.58,1,7.35,8,0,21,NaN,5.09342518752296,767,0,0
9600,36,298.58,3,27.33,10,0,12,NaN,4.81292003804502,752,0,1
19475,60,461.17,1,22.67,7,55.2,28,NaN,4.90309541563903,727,4.16211614106236,1
3500,36,106.47,0,23.12,9,5.6,13,NaN,4.47713573096112,742,2.68033551341456,0
11200,60,292.33,1,3.34,4,89.5,7,NaN,4.90309541563903,682,3.75404238678543,1
5000,36,161.32,6,7.92,10,31.1,19,NaN,4.77815848856469,702,3.24846371755103,0
5000,36,177,5,3.18,4,50.7,12,NaN,4.77815848856469,667,2.30963016742589,0
6000,60,133.44,10,16.27,4,56.8,10,NaN,4.25529663190434,742,4.08856131179121,1
8000,36,276.51,2,14.65,11,74.5,22,NaN,4.81955051571144,677,4.16432310856829,0
4800,36,151.51,2,20.7,8,79.2,18,NaN,4.55631456433534,707,4.55393154845632,0
25000,60,658.05,6,13.22,7,83.3,13,NaN,4.69897869013879,692,4.15673082649941,1
5500,36,167.3,NaN,4.96,6,60,13,NaN,4.65322216465659,747,3.84254683649501,1
9000,36,271.44,0,18.72,6,47.5,25,NaN,4.47713573096112,777,3.82249498527875,0
20000,60,536.81,10,17.96,7,49.1,33,NaN,4.77815848856469,677,2.69196510276736,1
18200,60,400.18,6,14.49,10,41.8,20,NaN,4.62325963061961,737,4.17900570756482,0
15000,36,521.68,7,17.38,5,81.7,12,NaN,4.5843425339724,677,3.29247759366778,0
5700,36,183.9,0,10.01,7,56,24,NaN,4.72428406375899,717,4.09039914925546,0
21000,60,497.28,10,14.58,8,48.2,24,NaN,5.0000043429231,722,4.24735942246893,0
2400,36,83.47,1,1.67,2,21.3,3,NaN,4.33447385691153,697,3.09307130637606,1
6000,36,203.59,0,14.19,8,41.6,12,NaN,4.54408045258678,702,4.03897762233269,1
13600,60,337.2,2,18.77,2,17.2,16,NaN,4.69897869013879,737,2.71432975974523,1
8000,36,225.85,6,19.8,7,42,22,NaN,4.47713573096112,747,4.32263271169222,0
22600,60,625.61,5,7.05,9,72.1,11,NaN,4.98453181378142,667,4.35759184752344,1
5000,36,154.37,5,24.26,8,42.2,21,NaN,4.50516354981041,737,4.18937800584203,0
35000,36,1088.56,2,27.92,16,7.7,30,NaN,5.21085603788809,772,3.37438169805088,0
12000,36,390.54,4,3.37,5,13.3,15,NaN,4.41499005128352,717,3.49443289872639,0
24925,60,650.56,7,22.96,6,9.2,23,NaN,4.7324018022389,682,2.81756536955978,0
25000,60,671.01,6,17.77,16,18.4,31,NaN,4.73802702236946,677,3.53478735862949,1
11625,60,303.42,1,24.81,4,0,17,NaN,4.60207084855429,677,0,1
20000,36,659.43,4,6.73,8,77.8,25,NaN,5.35411036080014,732,4.51709028158712,0
10625,36,352.86,2,3.67,5,71.6,15,NaN,4.51055841415043,692,3.59549622182557,0
18000,60,473.8,7,6.63,11,40.9,21,NaN,4.68125028508304,677,4.06355851811098,0
27500,60,657.55,9,18.89,6,12.2,23,NaN,4.88828622847485,752,3.14612803567823,1
4200,36,135.51,NaN,24.78,10,50.3,21,NaN,4.33447385691153,702,4.09961159039252,1
4000,60,106.54,3,5.52,7,39,18,NaN,4.60207084855429,672,3.49443289872639,0
13000,60,289.92,10,13.2,8,77.5,25,NaN,5.04139663327193,712,4.49368106633196,0
3525,36,106.32,5,10.28,9,26.4,16,NaN,5.01284144113598,767,3.78347478758224,0
8000,36,263.78,9,15.01,12,69,20,NaN,4.79588696600019,687,4.0537313158876,0
22250,60,349.28,4,23.16,13,51.5,27,NaN,4.5843425339724,727,4.24179543129519,1
6000,36,140.74,5,19.06,13,7.8,25,NaN,4.41499005128352,737,3.18412335423967,0
35000,60,617.91,2,15.77,12,0,35,NaN,4.95424733490676,697,0,0
2100,36,67.76,3,13.89,2,33.8,6,NaN,4.33447385691153,727,2.48429983934678,0
13700,60,232.52,6,0,6,0,27,NaN,4.79934744296207,772,0,1
35000,60,573.3,0,14.07,7,55.2,28,NaN,4.90309541563903,727,4.16211614106236,1
35000,60,617.55,7,14.66,10,0,12,NaN,4.84510424417682,752,0,1
8350,36,257.79,6,0.39,5,1.2,13,NaN,4.88706001088708,807,2.82020145948564,0
35000,60,520.62,10,6.08,7,36.5,16,NaN,4.68764879925492,772,4.74468406327688,0
10000,36,370.06,10,5.26,3,92.6,15,NaN,4.98227575691685,662,3.51067903103221,0
18000,36,615.11,0,9.25,9,13.9,20,NaN,5.0000043429231,692,3.648164778574,0
9725,60,244.27,0,1.29,6,88.6,12,NaN,4.84510424417682,687,3.42488163663106,0
10000,36,339.31,10,13.1,4,84.8,14,NaN,4.68125028508304,682,3.9736357734174,0
23600,60,502.73,9,0,2,0,18,NaN,4.67413517990245,777,0,0
14300,36,485.21,5,17.08,3,81.3,3,NaN,4.47713573096112,702,4.24492004391245,1
15000,60,278,3,10.44,6,15.9,7,NaN,4.60207084855429,752,3.19755621315353,0
3000,36,104.91,4,1.49,5,13.4,15,NaN,4.62325963061961,667,3.07591176148277,1
12000,60,319.6,2,1.66,6,68.6,9,NaN,4.88081930664427,667,3.71742083672237,0
16000,60,255.35,1,13.22,9,35.7,20,NaN,4.74819578219556,717,3.83884909073725,1
25000,60,543.44,5,10.4,10,1.2,18,NaN,4.79934744296207,802,2.30963016742589,0
11200,60,292.33,2,12.29,5,45.6,11,NaN,4.65322216465659,702,3.76989403581216,0
12000,36,361.92,6,9.88,16,34.5,32,NaN,4.98227575691685,787,4.41121552307514,0
8450,36,260.88,4,8.18,11,57.4,30,NaN,4.99299951197072,752,4.33723956254371,1
25000,60,445.04,10,14.97,14,92.2,30,NaN,4.75588247480709,672,4.4165739436962,1
15000,60,274.68,1,16.91,8,38.4,9,NaN,4.74037058568576,697,4.26069136593747,0
5000,36,177,1,2.23,8,95.7,22,NaN,4.54408045258678,672,2.88479536394898,0
11000,60,292.97,1,14.7,8,70.8,11,NaN,4.71265811810538,677,3.81842385509207,1
8400,36,255.51,3,9.77,6,0.6,29,NaN,4.93450350115004,772,1.72427586960078,0
3600,36,109.51,5,17.37,7,30.7,22,NaN,4.74037058568576,747,3.67495294804856,0
8000,36,248.82,4,2.11,5,32.6,11,NaN,4.51852710011733,747,3.52891670027765,0
5000,36,157.82,2,15.85,8,10,11,NaN,4.68125028508304,727,2.51851393987788,1
35000,60,796.18,10,11.84,4,0,8,NaN,4.65322216465659,797,0,0
10800,60,274.2,6,6.6,4,58.1,10,NaN,4.71601169537145,737,3.3981136917305,0
12000,36,417.34,10,7.62,14,33.2,22,NaN,5.11394669302077,717,3.81157500587059,0
5000,36,173.9,2,3.72,8,46.1,11,NaN,4.69897869013879,672,3.64147411050409,1
7350,60,186.61,0,23.7,9,89.2,47,NaN,4.55631456433534,672,4.23842249588547,0
4000,36,121.67,2,4.66,15,8.9,25,NaN,4.70757869159252,762,3.69897000433601,0
18000,60,494.49,1,11.27,5,73.5,14,NaN,4.55631456433534,662,3.38471174293828,1
29100,36,980.36,10,16.25,2,10.9,17,NaN,4.71601169537145,757,0,1
10175,36,342.79,7,0.72,4,5.3,19,NaN,4.77815848856469,707,2.98000337158374,0
3200,36,105.51,NaN,5.8,4,38.9,11,NaN,4.07921743574656,707,3.23350376034113,0
3000,36,107.7,10,24.48,8,95.8,13,NaN,4.77815848856469,662,4.33338681165953,0
1000,36,32.74,NaN,12.95,3,0,9,NaN,4.42162037710683,712,0,1
11500,60,255.76,10,27.68,24,43.4,31,NaN,4.90309541563903,767,4.64776427755577,0
13575,60,315.8,10,15.12,9,0,42,NaN,5.25527491784372,727,0,0
2200,36,68.43,4,8.24,4,62.4,13,NaN,4.47713573096112,767,3.55132798800384,0
17000,60,391.08,1,9.07,7,41.8,16,NaN,4.71601169537145,747,3.98344585734134,0
35000,36,1179.12,6,27.27,17,63.9,51,NaN,5.21748657629369,732,4.5657770040175,0
35000,60,584.65,10,12.42,7,51.7,17,NaN,5.0000043429231,697,4.29662131991633,0
25500,60,609.73,9,20.13,10,88.9,39,NaN,4.82608128465964,747,4.40967957006035,1
12000,36,267.5,5,7.8,8,26.4,15,NaN,4.99123050724623,732,3.78347478758224,0
2800,36,86.45,10,29.4,12,5.9,20,NaN,4.55631456433534,737,2.70243053644552,0
35000,36,841.16,6,0.2,6,0,13,NaN,4.88706001088708,812,1.14612803567823,0
6000,36,180.96,4,7.15,6,21.1,19,NaN,5.05094401104932,787,3.10209052551183,0
10800,60,294.37,7,19.81,5,99.8,13,NaN,4.4941685134903,692,2.69897000433601,1
8800,36,277.76,1,4.15,7,0,9,NaN,4.68125028508304,752,3.13956426617585,0
16000,60,344.62,0,0.42,7,0.4,10,NaN,4.63347855533382,787,2.47567118832442,0
10000,36,315.63,1,2.45,5,17,10,NaN,4.39795738010388,742,3.23552844690754,1
3500,36,108.06,1,4,6,0,13,NaN,4.30965145584931,752,0,0
15000,60,364.7,1,18.13,8,71.3,15,NaN,4.7324018022389,702,3.88649072517248,0
35000,60,814.21,0,0.55,4,30.4,7,NaN,4.94131759665182,772,3.43663963169266,0
25000,60,549.69,10,9.84,7,32.6,28,NaN,4.98227575691685,757,4.35682865519646,0
25000,60,380.73,8,2.15,11,55.7,31,NaN,5.17609415434257,752,4.32438535649042,1
7200,36,227.26,10,25.82,14,37.1,23,NaN,4.46241297331255,727,4.0274311577669,0
5000,36,174.85,0,18.28,16,88.6,23,NaN,4.81292003804502,667,3.98073037653594,1
16200,36,553.6,1,2.52,11,18.2,31,NaN,4.69897869013879,692,3.42991369776375,0
15000,36,491.01,3,10.09,14,77.4,28,NaN,5.07918486515322,712,4.53000748997604,0
12000,60,315.87,4,15.62,7,51.2,16,NaN,4.7324018022389,662,2.91381385238371,0
14300,60,314.43,3,8.63,15,3.8,29,NaN,4.85733852825718,787,3.2513948500401,0
12000,60,258.47,0,1.71,9,9.2,26,NaN,5.03342777671353,797,3.69591925283139,0
35000,60,946.68,2,4.81,3,96,18,NaN,5.39794174584649,732,4.15842280658488,0
1500,36,49.82,8,5.65,3,97.7,6,NaN,4.71601169537145,717,4.01936557457248,0
22750,60,494.53,0,21.69,11,38.4,40,NaN,4.81292003804502,762,3.81763146719051,0
10050,60,249.18,7,16.03,7,18.9,14,NaN,4.39795738010388,677,3.04883008652835,1
15000,36,505.34,10,13.75,15,24.1,49,NaN,4.87290762227976,702,3.43152458418745,0
30000,60,517.45,2,0.72,4,5.3,19,NaN,4.77815848856469,707,2.98000337158374,0
2500,36,94.66,0,9.21,5,98.9,9,NaN,4.45940756716694,662,3.17172645365323,0
18000,60,419.94,4,9.3,9,25.8,35,NaN,4.68125028508304,707,4.06382105634371,0
35000,60,543.31,5,7.11,7,51.6,17,NaN,4.81292003804502,717,4.2797353674105,0
12000,60,294.96,4,23.83,4,2,32,NaN,4.74037058568576,712,2.06069784035361,0
7000,36,230.8,10,8.09,8,16.9,24,NaN,4.84261547942898,682,3.0795430074029,1
6125,36,190.5,2,11.16,12,11.8,15,NaN,4.84510424417682,737,3.21669359916975,0
35000,60,543.94,10,15.43,9,0,42,NaN,5.25527491784372,727,0,0
5000,36,166.05,5,21.95,7,94.8,15,NaN,4.85126446549968,687,4.64982146322456,0
6700,36,233.02,5,10.42,6,38.3,12,NaN,4.92942403503108,672,3.29047981333067,0
15000,36,508.96,0,3.44,3,79.4,16,NaN,4.90309541563903,707,3.43120288455651,0
2200,36,77.88,2,7.41,8,87.4,9,NaN,4.2095418220166,677,3.33965015761368,0
1000,36,31.11,3,12.11,7,30.9,8,NaN,4.32223997493115,727,3.26126286879249,0
35000,36,1080.57,3,16.92,14,82.4,40,NaN,5.24952365055617,697,4.87956033189194,0
1800,36,64.66,3,18.32,2,6.4,4,NaN,4.17612021105608,682,1.77085201164214,0
14000,36,438.13,5,17.97,4,69.1,8,NaN,4.65322216465659,737,3.71891668601486,0
6400,60,180.2,3,2.8,5,79.8,9,NaN,4.81955051571144,662,3.58319877396862,0
35000,60,586.37,9,10.65,9,47.7,18,NaN,5.07918486515322,747,3.81868766344151,0
8000,36,264.31,0,17.13,4,51.4,6,NaN,4.34244242103183,692,3.36455099535397,0
26500,60,430.14,2,16.59,11,34,24,NaN,4.74819578219556,727,4.29283179450862,1
35000,60,568.8,2,24.06,10,34,51,NaN,4.92942403503108,702,4.07499918606419,0
30000,60,454.72,10,19.76,24,43.9,31,NaN,4.91381914862559,767,4.6526717218575,0
15000,36,466.53,7,6.75,8,39.8,17,NaN,5.24304053036195,752,4.27114431794907,0
20000,60,430.78,5,8.7,8,42,38,NaN,4.77815848856469,772,2.70329137811866,1
14000,36,435.43,7,3.93,10,10.6,25,NaN,4.60207084855429,747,3.86480762902614,0
9000,36,303.21,5,8.96,6,53.6,22,NaN,4.47713573096112,677,3.41077723337721,0
12000,60,332.18,3,11.06,7,49.5,10,NaN,4.67210709814554,662,3.45086469237976,1
25000,60,406.83,0,1,6,89.3,12,NaN,4.95424733490676,687,3.4279727136082,0
25000,60,549.69,7,12.24,13,30.2,30,NaN,5.23045147604418,747,3.93771844361726,1
10000,36,347.79,0,18.38,16,54.1,27,NaN,4.77815848856469,677,4.45431118814756,1
6000,36,209.82,3,10.97,9,82.2,21,NaN,4.81292003804502,662,3.72786644946748,0
8000,36,279.76,2,6.87,3,82.7,15,NaN,5.29159304483721,682,4.04446136081066,0
19500,60,539.79,7,14.24,6,79.8,16,NaN,4.6589743665618,662,3.86611003984437,0
2350,36,79.17,0,22.5,5,3.6,13,NaN,4.55631456433534,687,1.81954393554186,1
27000,60,724.69,10,19.35,25,64.2,54,NaN,5.09691348735001,717,4.84473183745817,0
5000,36,155.51,3,2.42,6,25.4,9,NaN,4.76716328985602,762,3.502836638621,0
12000,60,294.96,10,18.63,9,57.7,18,NaN,4.68125028508304,687,4.05602775808636,1
35000,60,968.86,2,10.71,10,44.7,47,NaN,5.08743000808049,662,4.19683914583311,0
15000,36,491.01,7,12.01,9,47.5,21,NaN,4.93952424448052,702,3.66388929862266,0
11000,36,365.31,3,12.53,5,4.3,15,NaN,4.95424733490676,692,2.26245108973042,0
30225,60,703.13,4,17.1,9,28,32,NaN,4.71601169537145,757,3.97224913596259,1
4000,60,107.37,1,2.41,4,56.1,6,NaN,5.07555061091065,692,3.83910078270715,0
10000,36,336.9,10,2.09,6,87.8,24,NaN,4.85941452403901,687,3.24477176149529,0
12800,36,412.96,6,21.83,8,42.7,21,NaN,5.06446173312872,737,4.1136760118971,0
13175,60,293.01,0,9.77,6,56.9,12,NaN,4.92942403503108,722,4.3676540466474,1
7600,36,256.04,7,21.1,4,93.3,9,NaN,4.80752149843499,722,3.6232492903979,0
16000,60,363.97,0,9.26,5,64.5,10,NaN,4.50516354981041,757,4.43562143037485,1
2425,36,79.96,1,13.38,10,39.4,24,NaN,4.9365187690063,687,3.68886456805479,0
13725,60,301.78,8,7.18,9,63.6,47,NaN,4.90309541563903,752,4.42910600833269,1
4475,36,144.38,10,10.86,8,26.4,14,NaN,4.86923758853567,702,3.92752434087502,0
30000,60,652.13,8,4.39,9,12.4,16,NaN,5.36172972425036,772,3.52061452187823,0
8850,36,289.7,4,16.41,8,70.8,36,NaN,5.07918486515322,687,4.82612017438105,0
1000,36,33.94,10,12.72,4,36.1,12,NaN,4.68125028508304,682,3.32097667734282,0
2500,36,76.05,3,5.84,4,9.6,16,NaN,4.34595390536872,792,2.45939248775923,0
20000,60,532.67,6,8.72,3,84.4,5,NaN,4.85733852825718,682,3.8858698609039,0
6700,36,222.51,3,1.98,6,28.7,7,NaN,4.68125028508304,692,3.77393264746764,0
16000,60,378.88,5,10.99,9,43.6,23,NaN,4.94072063503587,722,3.78118072093726,1
15000,36,494.57,0,16.16,8,93.9,31,NaN,4.97772817678564,712,4.7451528950769,0
1000,36,31.11,7,7.52,3,0.1,6,NaN,4.65322216465659,797,1.47712125471966,0
12325,36,389.02,10,6.54,7,89.8,13,NaN,5.1461311377706,742,3.92205040216717,1
7200,36,234.33,7,21.87,6,60.4,11,NaN,4.44092481708748,707,3.72057272036426,0
18825,60,418.66,6,17.22,13,19,21,NaN,4.41499005128352,742,3.88677264305443,0
20000,60,516.51,5,22.04,10,93.8,17,NaN,5.09785401110283,687,4.68308307777929,1
8000,60,201.03,4,1.71,10,20.6,25,NaN,4.79099550245076,692,3.4279727136082,0
26800,60,640.82,10,10.05,6,66.1,13,NaN,5.26245346291783,767,4.37021692081589,0
21000,60,533.15,8,9.16,6,1.2,26,NaN,4.77815848856469,692,2.26951294421791,0
12400,60,326.39,1,12.6,10,58.7,22,NaN,4.7324018022389,687,4.25741455876218,0
15000,36,491.01,8,7.74,10,46.6,21,NaN,5.15229140278413,732,4.48572142648158,0
15000,60,329.82,5,13.57,16,30.1,21,NaN,4.68125028508304,742,4.14097916347697,0
12100,36,401.84,1,24.78,10,21.9,18,NaN,5.02119343518816,757,3.21563756343506,0
20000,60,459.48,6,17.45,14,31,27,NaN,5.0000043429231,732,4.15155370454297,0
35000,60,932.17,2,6.23,13,73.6,19,NaN,5.04139663327193,682,4.42680394551486,1
17600,60,436.37,8,11.85,14,37.9,30,NaN,4.85733852825718,742,4.49136169383427,0
6000,60,161.05,10,2.33,5,5.3,10,NaN,4.55631456433534,682,2.8407332346118,0
6800,60,183.93,0,11.02,7,99.5,20,NaN,4.77815848856469,697,4.14088498026586,1
11400,60,294.41,10,17.91,12,79.4,14,NaN,4.59989398385826,692,4.21769446020537,1
20000,60,507.76,2,22.03,10,65.5,21,NaN,4.97818508362719,692,4.23922437848712,0
5000,36,170.87,1,8.69,4,89,17,NaN,4.69897869013879,692,3.68259629146055,1
9000,60,221.22,2,21.49,13,78.4,35,NaN,4.97313247372918,677,4.48187241031066,0
14000,60,378.67,3,7.29,4,46.9,23,NaN,5.09691348735001,662,3.08671566394488,0
5000,36,164.86,1,4.97,10,54.1,23,NaN,4.69897869013879,697,3.7901443650429,0
18000,36,368.5,1,12.3,21,15.7,41,NaN,4.68125028508304,757,4.25664559804445,0
35000,60,557.6,6,21.67,9,40.3,21,NaN,5.06446173312872,727,4.10212485573452,0
12000,36,370.48,3,10.11,9,0.1,15,NaN,4.84510424417682,787,1.27875360095282,0
13200,36,438.37,6,24.72,8,60.1,19,NaN,4.60207084855429,707,4.13855530511358,0
6000,36,189.38,6,23.52,8,83.5,31,NaN,4.84510424417682,712,4.26401457998097,1
35000,60,622.51,10,11.7,8,80.5,28,NaN,5.28330349064808,687,4.27879931375555,0
18000,60,295.59,7,16.46,4,87.4,9,NaN,4.77815848856469,702,3.5950550897593,0
3000,36,101.07,2,20.03,5,48,15,NaN,4.55631456433534,687,3.52659770910345,1
20000,60,384.92,10,10.98,8,24.7,14,NaN,4.86923758853567,702,3.89784693157957,0
28625,60,473.14,4,16.6,8,69.7,36,NaN,5.07918486515322,687,4.82580895905741,0
12000,60,237.4,1,13.76,10,39.5,24,NaN,4.92428445620351,687,3.69063901171596,0
9200,60,235.58,4,12.88,2,71.1,4,NaN,4.37399730208223,702,3.66501782541247,0
17475,60,264.04,10,28.85,10,18.4,36,NaN,4.65322216465659,722,4.61844558199508,0
35000,60,554.1,0,10.13,6,56.8,12,NaN,4.91381914862559,722,4.36685236951226,1
6000,60,149.57,0,2.16,5,37.7,9,NaN,4.38737202701981,697,2.75281643118827,1
6600,36,217.62,0,19.57,10,74.7,13,NaN,4.41898038124503,682,3.98385171899147,1
15000,36,466.53,3,3.44,13,19.3,36,NaN,4.77815848856469,752,3.74702317745162,0
35000,60,483.97,8,6.48,9,42.1,47,NaN,4.90309541563903,772,4.31722734917642,1
35000,60,573.04,10,10.67,8,94.9,19,NaN,4.96379254791209,692,4.33144754287779,1
4000,36,135.73,0,8.75,5,45,10,NaN,4.38022933693803,697,3.88632148655947,0
5000,60,115.03,4,15.96,16,0.7,29,NaN,4.47713573096112,767,2.44247976906444,0
28000,60,562.29,3,12.62,15,12.3,30,NaN,4.74819578219556,737,3.37217528611506,0
12000,36,430.77,4,6.76,6,86.4,18,NaN,4.77815848856469,662,4.05701912432276,1
35000,60,608.6,10,6.55,7,95.4,13,NaN,5.1461311377706,702,3.9453700944903,0
11100,60,302.55,7,19.7,6,96.9,12,NaN,4.69897869013879,662,3.74248946458177,1
5600,60,143.4,10,13.54,9,7.5,25,NaN,4.82737573572124,667,2.91434315711944,1
24000,60,457.76,5,20.06,11,18.8,34,NaN,4.79970575470688,687,3.7718078789991,0
6000,60,142.08,2,16.2,5,68.8,14,NaN,4.60207084855429,707,3.585799009013,1
15000,36,531,NaN,0,2,0,8,NaN,4.71900793219374,687,0,0
10000,36,315.63,4,10.56,10,5,36,NaN,4.54408045258678,722,3.14705767102835,0
10000,36,311.02,2,0.24,5,12,16,NaN,4.95424733490676,752,3.46508528755743,0
10000,36,311.02,3,7.71,7,43.3,26,NaN,4.86332880931918,757,4.32192966852651,0
16000,36,542.89,2,6.61,7,42.4,30,NaN,4.74037058568576,702,3.94492660998621,1
10000,36,332.1,4,7.93,4,71.2,7,NaN,4.80618675978215,697,4.14888016912823,0
